date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:56:36	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2014%20Jun%202025%2015:56:36%20GMT	https://discourse.onlinedegree.iitm.ac.in/c/courses/tds-kb/34	discourse.onlinedegree.iitm.ac.in/discourse.onlinedegree.iitm.ac.in/c/courses/tds-kb/34.0.delayed	(from )
15:56:38	14536/14536	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2015:56:37%20GMT	https://discourse.onlinedegree.iitm.ac.in/login	discourse.onlinedegree.iitm.ac.in/discourse.onlinedegree.iitm.ac.in/login.html	(from )
15:56:39	711/711	---MC-	200	added ('OK')	application/xml	date:Sat,%2014%20Jun%202025%2015:56:38%20GMT	https://discourse.onlinedegree.iitm.ac.in/opensearch.xml	discourse.onlinedegree.iitm.ac.in/discourse.onlinedegree.iitm.ac.in/opensearch.xml	(from https://discourse.onlinedegree.iitm.ac.in/login)
15:56:39	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2014%20Jun%202025%2015:56:39%20GMT	https://discourse.onlinedegree.iitm.ac.in/categories	discourse.onlinedegree.iitm.ac.in/discourse.onlinedegree.iitm.ac.in/categories.3.delayed	(from https://discourse.onlinedegree.iitm.ac.in/login)
15:56:40	13587/13587	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2015:56:39%20GMT	https://discourse.onlinedegree.iitm.ac.in/	discourse.onlinedegree.iitm.ac.in/discourse.onlinedegree.iitm.ac.in/index.html	(from https://discourse.onlinedegree.iitm.ac.in/login)
15:56:40	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2014%20Jun%202025%2015:56:40%20GMT	https://discourse.onlinedegree.iitm.ac.in/guidelines	discourse.onlinedegree.iitm.ac.in/discourse.onlinedegree.iitm.ac.in/guidelines.4.delayed	(from https://discourse.onlinedegree.iitm.ac.in/login)
15:56:42	30098/30098	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2015:56:41%20GMT	https://discourse.onlinedegree.iitm.ac.in/tos	discourse.onlinedegree.iitm.ac.in/discourse.onlinedegree.iitm.ac.in/tos.html	(from https://discourse.onlinedegree.iitm.ac.in/login)
15:56:43	0/-1	---M--	302	error ('')			https://discourse.onlinedegree.iitm.ac.in/categories	discourse.onlinedegree.iitm.ac.in/discourse.onlinedegree.iitm.ac.in/categories.7.delayed	(from https://discourse.onlinedegree.iitm.ac.in/)
15:56:43	0/-1	---M--	302	error ('')			https://discourse.onlinedegree.iitm.ac.in/guidelines	discourse.onlinedegree.iitm.ac.in/discourse.onlinedegree.iitm.ac.in/guidelines.8.delayed	(from https://discourse.onlinedegree.iitm.ac.in/)
15:56:43	0/-1	---M--	302	error ('')			https://discourse.onlinedegree.iitm.ac.in/categories	discourse.onlinedegree.iitm.ac.in/discourse.onlinedegree.iitm.ac.in/categories.9.delayed	(from https://discourse.onlinedegree.iitm.ac.in/tos)
15:56:43	0/-1	---M--	302	error ('')			https://discourse.onlinedegree.iitm.ac.in/guidelines	discourse.onlinedegree.iitm.ac.in/discourse.onlinedegree.iitm.ac.in/guidelines.a.delayed	(from https://discourse.onlinedegree.iitm.ac.in/tos)
15:56:43	21477/21477	---MCZ	200	added ('OK')	text/html	date:Sat,%2014%20Jun%202025%2015:56:42%20GMT	https://discourse.onlinedegree.iitm.ac.in/privacy	discourse.onlinedegree.iitm.ac.in/discourse.onlinedegree.iitm.ac.in/privacy.html	(from https://discourse.onlinedegree.iitm.ac.in/login)
15:56:43	0/-1	---M--	302	error ('')			https://discourse.onlinedegree.iitm.ac.in/categories	discourse.onlinedegree.iitm.ac.in/discourse.onlinedegree.iitm.ac.in/categories.b.delayed	(from https://discourse.onlinedegree.iitm.ac.in/privacy)
15:56:43	0/-1	---M--	302	error ('')			https://discourse.onlinedegree.iitm.ac.in/guidelines	discourse.onlinedegree.iitm.ac.in/discourse.onlinedegree.iitm.ac.in/guidelines.c.delayed	(from https://discourse.onlinedegree.iitm.ac.in/privacy)
