date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:54	82/82	---MCZ	200	added ('OK')	text/plain	etag:%22V_UsdQ%22	https://study.iitm.ac.in/robots.txt		(from )
15:48:55	71026/71026	---MCZ	200	added ('OK')	text/html	etag:%22V_UsdQ%22	https://study.iitm.ac.in/ds/	./ds/study.iitm.ac.in/ds/index.html	(from )
15:48:56	4286/4286	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:%22V_UsdQ%22	https://study.iitm.ac.in/ds/assets/img/logo.ico	./ds/study.iitm.ac.in/ds/assets/img/logo.ico	(from https://study.iitm.ac.in/ds/)
15:48:57	618/618	---MCZ	200	added ('OK')	text/plain	etag:%22V_UsdQ%22	https://study.iitm.ac.in/ds/humans.txt	./ds/study.iitm.ac.in/ds/humans.txt	(from https://study.iitm.ac.in/ds/)
15:48:58	86659/86659	---MCZ	200	added ('OK')	text/javascript	etag:%22V_UsdQ%22	https://study.iitm.ac.in/ds/assets/js/core/jquery.min.js	./ds/study.iitm.ac.in/ds/assets/js/core/jquery.min.js	(from https://study.iitm.ac.in/ds/)
15:48:58	246215/246215	---M--	200	added ('OK')	image/png	etag:%22V_UsdQ%22	https://study.iitm.ac.in/ds/assets/img/logo.png	./ds/study.iitm.ac.in/ds/assets/img/logo.png	(from https://study.iitm.ac.in/ds/)
15:49:00	55521/55521	---MCZ	200	added ('OK')	text/html	etag:%22V_UsdQ%22	https://study.iitm.ac.in/ds/archive.html	./ds/study.iitm.ac.in/ds/archive.html	(from https://study.iitm.ac.in/ds/)
15:49:01	72276/72276	---MCZ	200	added ('OK')	text/html	etag:%22V_UsdQ%22	https://study.iitm.ac.in/ds/partnerships.html	./ds/study.iitm.ac.in/ds/partnerships.html	(from https://study.iitm.ac.in/ds/)
15:49:01	71768/71768	---MCZ	200	added ('OK')	text/html	etag:%22V_UsdQ%22	https://study.iitm.ac.in/ds/aboutIITM.html	./ds/study.iitm.ac.in/ds/aboutIITM.html	(from https://study.iitm.ac.in/ds/)
15:49:03	410957/410957	---MCZ	200	added ('OK')	text/html	etag:%22V_UsdQ%22	https://study.iitm.ac.in/ds/faq.html	./ds/study.iitm.ac.in/ds/faq.html	(from https://study.iitm.ac.in/ds/)
